old,new
MC0000001,CBM00254
MC0000003,CBM00181
MC0000005,CBM00222
MC0000009,CBM00104
MC0000010,CBM00244
MC0000011,CBM00093
MC0000013,CBM00036
MC0000014,CBM00142
MC0000016,CBM00160
MC0000019,CBM00185
MC0000025,CBM00027
MC0000026,CBM00218
MC0000027,CBM00083
MC0000028,CBM00180
MC0000029,CBM00052
MC0000034,CBM00011
MC0000035,CBM00214
MC0000038,CBM00163
MC0000045,CBM00207
MC0000048,CBM00074
MC0000049,CBM00009
MC0000050,CBM00220
MC0000051,CBM00189
MC0000052,CBM00255
MC0000053,CBM00039
MC0000058,CBM00048
MC0000061,CBM00122
MC0000065,CBM00259
MC0000067,CBM00179
MC0000069,CBM00152
MC0000071,CBM00182
MC0000072,CBM00056
MC0000074,CBM00081
MC0000076,CBM00269
MC0000077,CBM00046
MC0000078,CBM00156
MC0000079,CBM00227
MC0000080,CBM00101
MC0000081,CBM00281
MC0000083,CBM00016
MC0000084,CBM00007
MC0000085,CBM00162
MC0000086,CBM00195
MC0000090,CBM00237
MC0000091,CBM00150
MC0000092,CBM00132
MC0000095,CBM00096
MC0000096,CBM00184
MC0000098,CBM00091
MC0000099,CBM00028
MC0000101,CBM00057
MC0000102,CBM00211
MC0000107,CBM00099
MC0000109,CBM00242
MC0000110,CBM00026
MC0000112,CBM00002
MC0000119,CBM00105
MC0000350,CBM00177
MC0000402,CBM00106
MC0000490,CBM00149
MC0000555,CBM00247
MC0000591,CBM00213
MC0000593,CBM00140
MC0000600,CBM00113
MC0000616,CBM00262
MC0000636,CBM00072
MC0000659,CBM00199
MC0000690,CBM00204
MC0000696,CBM00115
MC0000730,CBM00092
MC0000841,CBM00263
MC0000847,CBM00187
MC0000876,CBM00058
MC0000891,CBM00063
MC0000907,CBM00116
MC0000948,CBM00082
MC0000993,CBM00077
MC0000997,CBM00090
MC0001011,CBM00043
MC0001028,CBM00108
MC0001033,CBM00012
MC0001036,CBM00018
MC0001073,CBM00186
MC0001108,CBM00241
MC0001133,CBM00050
MC0001159,CBM00041
MC0001178,CBM00232
MC0001187,CBM00109
MC0001191,CBM00021
MC0001209,CBM00191
MC0001226,CBM00275
MC0001242,CBM00146
MC0001267,CBM00038
MC0001322,CBM00212
MC0001328,CBM00144
MC0001369,CBM00285
MC0001380,CBM00045
MC0001381,CBM00170
MC0001384,CBM00215
MC0001401,CBM00264
MC0001408,CBM00006
MC0001414,CBM00274
MC0001419,CBM00235
MC0001424,CBM00226
MC0001425,CBM00128
MC0001480,CBM00086
MC0001490,CBM00148
MC0001515,CBM00071
MC0001521,CBM00219
MC0001525,CBM00042
MC0001528,CBM00139
MC0001588,CBM00224
MC0001622,CBM00165
MC0001656,CBM00234
MC0001704,CBM00209
MC0001739,CBM00208
MC0001748,CBM00130
MC0001803,CBM00001
MC0001836,CBM00261
MC0001847,CBM00137
MC0001889,CBM00164
MC0001926,CBM00196
MC0001928,CBM00229
MC0001982,CBM00166
MC0001996,CBM00055
MC0002059,CBM00278
MC0002085,CBM00080
MC0002117,CBM00049
MC0002128,CBM00190
MC0002130,CBM00053
MC0002153,CBM00020
MC0002197,CBM00051
MC0002220,CBM00040
MC0002270,CBM00068
MC0002275,CBM00129
MC0002339,CBM00054
MC0002347,CBM00134
MC0002352,CBM00273
MC0002362,CBM00155
MC0002422,CBM00233
MC0002439,CBM00236
MC0002442,CBM00231
MC0002459,CBM00133
MC0002465,CBM00230
MC0002468,CBM00062
MC0002481,CBM00248
MC0002486,CBM00253
MC0002505,CBM00143
MC0002525,CBM00030
MC0002545,CBM00119
MC0002549,CBM00034
MC0002684,CBM00266
MC0002695,CBM00270
MC0002705,CBM00205
MC0002723,CBM00268
MC0002724,CBM00167
MC0002807,CBM00126
MC0002812,CBM00279
MC0002829,CBM00120
MC0002835,CBM00217
MC0002911,CBM00125
MC0002922,CBM00067
MC0002943,CBM00238
MC0002979,CBM00206
MC0002997,CBM00037
MC0003000,CBM00013
MC0003001,CBM00123
MC0003003,CBM00201
MC0003004,CBM00078
MC0003060,CBM00245
MC0003066,CBM00265
MC0003110,CBM00282
MC0003135,CBM00223
MC0003150,CBM00060
MC0003157,CBM00138
MC0003178,CBM00031
MC0003224,CBM00256
MC0003227,CBM00061
MC0003288,CBM00114
MC0003331,CBM00004
MC0003345,CBM00127
MC0003384,CBM00202
MC0003413,CBM00094
MC0003436,CBM00157
MC0003444,CBM00117
MC0003454,CBM00102
MC0003464,CBM00088
MC0003550,CBM00249
MC0003574,CBM00110
MC0003589,CBM00079
MC0003600,CBM00044
MC0003614,CBM00024
MC0003619,CBM00069
MC0003660,CBM00203
MC0003689,CBM00250
MC0003692,CBM00197
MC0003697,CBM00025
MC0003707,CBM00257
MC0003712,CBM00158
MC0003720,CBM00260
MC0003723,CBM00173
MC0003728,CBM00010
MC0003743,CBM00035
MC0003791,CBM00169
MC0003813,CBM00246
MC0003817,CBM00118
MC0003858,CBM00121
MC0003861,CBM00047
MC0003872,CBM00032
MC0003877,CBM00225
MC0003936,CBM00272
MC0003938,CBM00252
MC0003942,CBM00171
MC0003943,CBM00284
MC0003950,CBM00135
MC0003956,CBM00239
MC0003982,CBM00176
MC0003986,CBM00064
MC0004016,CBM00280
MC0004024,CBM00008
MC0004030,CBM00087
MC0007894,CBM00029
MC0007916,CBM00168
MC0008148,CBM00017
MC0008247,CBM00066
MC0008514,CBM00161
MC0008700,CBM00033
MC0008742,CBM00194
MC0008890,CBM00193
MC0008899,CBM00175
MC0008947,CBM00100
MC0008957,CBM00276
MC0008987,CBM00022
MC0009037,CBM00084
MC0009040,CBM00277
MC0009051,CBM00005
MC0009138,CBM00154
MC0009193,CBM00141
